enkk,enak
enk,enak
guee,saya
holygraill,favorit
holyfraill,favorit
sngt,sangat
sangt,sangat
skaliii,sekali
skalii,sekali
sekaliii,sekali
sekalii,sekali
sensitf,sensitif
senstf,sensitif
abis,habis
abisnya,habisnya
abisss,habis
ad,ada
aja,saja
ak,saya
aku,saya
akuu,saya
akuuu,saya
alesan,alasan
alesannya,alasannya
ama,sama
amazinggg,amazing
antiaging,anti aging
aplikasiinnya,memakai
aq,saya
aseeeeeem,asam
aweet,awet
awwweeeeetttt,awet
baguss,bagus
bagusss,bagus
bagusssss,bagus
bagussssss,bagus
baguuss,bagus
baguuusss,bagus
bakal,akan
bangeeeet,banget
bangeeeettt,banget
bangett,banget
bangettttt,banget
bangetttttt,banget
banyaaakkk,banyak
banyakk,banyak
baunya,aromanya
bbrp,beberapa
bc,karena
bener2,benar-benar
berminya,berminyak
berminyakkk,berminyak
berumtung,beruntung
bgd,banget
bgs,bagus
bgt,banget
bgtbgt,banget
bgtt,banget
bgttt,banget
bikin,membuat
binggo,banget
binggoo,banget
binggooo,banget
binggooooooo,banget
binggow,banget
bingit,banget
bingits,banget
bingitssss,banget
bingitt,banget
bl,beli
blajar,belajar
blg,bilang
bln,bulan
buanyaaakkk,banyak
buanyak,banyak
buildup,build up
buutttttt,but
byk,banyak
cb,coba
cpet,cepat
cpat,cepat
cpt,cepat
cepet,cepat
cerahh,cerah
cintaaaa,cinta
coz,karena
cpt,cepat
cukuo,cukup
dann,dan
dannn,dan
dapet,dapat
dehydrasi,dehidrasi
dg,dengan
dikamarku,di kamarku
dikiiiiit,dikit
dipake,dipakai
dl,dulu
dlm,dalam
dlu,dulu
dpt,dapat
dr,dari
drpd,dari pada
emang,memang
emg,memang
enaaaak,enak
enaaak,enak
enaaakkk,enak
enaak,enak
enakk,enak
endul,enak
endulita,enak
engga,tidak
enteng,ringan
enyaakk,enak
enyak,enak
essens,essence
favorits,favorit
g,tidak
ga,tidak
gaa,tidak
gaak,tidak
gaboleh,tidak boleh
gak,tidak
gakk,tidak
gampang,mudah
gituu,gitu
gituuu,gitu
gk,tidak
glooowiiiing,glowing
glossyyy,glossy
glowiiiiing,glowing
glowiiiing,glowing
gonjreng,menyala
gt,gitu
gua,saya
gue,saya
gw,saya
halusss,halus
halussss,halus
haluuuuuuuusssss,halus
harumm,harum
harummm,harum
haruum,harum
hg,favorit
highend,high end
hrgny,harganya
ilang,hilang
jaa,aja
jaaaaaauh,jauh
jadii,jadi
jadiii,jadi
jd,jadi
jdlah,jadilah
jerewi,jerawat
jg,juga
jni,ini
juaraaa,juara
juaraaaakkkk,juara
juarrraaa,juara
kalo,kalau
krna,karena
krena,karena
karna,karena
kayak,seperti
kayaknya,sepertinya
kayanya,sepertinya
kebakaaarr,terbakar
kece,keren
keceeee,keren
kemaren,kemarin
keringeta,berkeringat
kl,kalau
klo,kalau
kmren,kemarin
korbanya,korbannya
krg,kurang
krn,karena
kuatir,khawatir
kurleb,kurang lebih
kusem,kusam
kyk,seperti
kzl,kesal
lagii,lagi
lagiii,lagi
laiiinn,lain
lbh,lebih
lg,lagi
lgsg,langsung
lof,cinta
looooooveee,cinta
loooove,cinta
loveeee,cinta
loveeeeee,cinta
loveeeeeeeeeeeeeeee,cinta
lovvv,cinta
luv,cinta
maap,maaf
mahaaalll,mahal
mahall,mahal
mantapp,mantap
mantappp,mantap
mehong,mahal
merk,brand
muahaaaal,mahal
muahal,mahal
muantap,mantap
mulusssss,mulus
murce,murah
murceee,murah
murceeee,murah
murceeeee,murah
murmer,murah
mursida,murah
nagiiihhh,nagih
nahan,menahan
ndan,dan
negri,negeri
nerbener,benar-benar
ngalahin,mengalahkan
ngaplikasiin,memakai
ngefek,berpengaruh
ngeliat,melihat
ngeluarin,mengeluarkan
ngeresap,meresap
ngeresep,meresap
ngga,tidak
nggaa,tidak
nggak,tidak
nggk,tidak
ngiriiit,irit
ni,ini
nuang,menuang
nyari,mencari
nyatu,menyatu
nyegrak,menyengat
nyerap,menyerap
nyiumin,mencium
nyoba,mencoba
nyobain,mencoba
org,orang
oukaaayyyyy,ok
pke,pakai
pkei,pakai
pkai,pakai
pake,pakai
pakek,pakai
paraaaaah,parah
peeerrrrrffffeeeeecccttttt,perfect
pekejing,packaging
pengen,ingin
phrone,prone
pk,pakai
pricey,mahal
puasssss,puas
rb,ribu
reaaallyyy,really
reccomend,disarankan
reccomended,disarankan
recomended,disarankan
recommendedd,disarankan
sakittt,sakit
sampe,sampai
sangatt,sangat
sayangggg,sayang
sazlah,salah
sbg,sebagai
sdh,sudah
sdkit,sedikit
sebenernya,sebenarnya
segeeerrr,segar
segeerrr,segar
seger,segar
segerr,segar
sekaliiii,sekali
sekaliiiii,sekali
sempet,sempat
setres,stres
stress,stres
setress,stres
serumnyaaaaa,serumnya
sgt,sangat
skali,sekali
skrg,sekarang
smp,sampai
ssssuuukkkkaaaa,suka
sukaa,suka
sukaaa,suka
sukaaaa,suka
sukaaaaa,suka
sukaaaaaa,suka
sukaaaaaaaa,suka
sukaaakkk,suka
sukak,suka
superb,super
sy,saya
tapiiii,tapi
tdk,tidak
tekstue,tekstur
teksture,tekstur
tertariikk,tertarik
tetep,tetap
teteup,tetap
tgu,tunggu
thanksss,thanks
thx,thanks
tida,tidak
tidaa,tidak
tll,terlalu
tnpa,tanpa
tp,tapi
trs,terus
trus,terus
ttg,tentang
tuhaaann,tuhan
tutupnya,tutupnya
ud,sudah
uda,sudah
udah,sudah
udahh,sudah
udh,sudah
utk,untuk
veryyy,sangat
w,saya
wangii,wangi
wangiii,wangi
wanginyaa,wanginya
wanginyaaa,wanginya
wanginyaaaa,wanginya
warbiyasahhhh,bagus
was was,khawatir
waswas,khawatir
whyy,kenapa
yaa,ya
yak,ya
yesss,ya
dgn,dengan
gede,besar
kaya,seperti
pakenya,pakainya
biar,agar
bruntusan,beruntusan
cobain,mencoba
cuman,cuma
keliatan,terlihat
oke,ok
okk,ok
okee,ok
okeee,ok
seneng,senang
senenggg,senang
senengg,senang
senank,senang
holygrail,favorit
holy,favorit
grail,favorit
packagingnya,kemasan
samplenya,sampel
ilangnya,hilang
ngilangin,menghilangkan
bangettt,banget
puueerrfffeeccctttt,perfect
wkt,waktu
hibahin,berikan
tauk,tau
nyokap,ibu
bokap,bapak
lipstik,lipstick
bgtttt,bgt
terasa,rasanya
berasa,rasanya
beneran,sangat
ud,sudah
tokcer,mantap
psti,pasti
gedee,besar
gede,besar
guede,besar
gedeee,besar
geede,besar
fave,favorit
n,dan
gag,tidak
awettt,awet
licinnnn,licin
risihh,risih
ngalamin,mengalami
awalnha,awalnya